"Tiedot";"Vuosi";"Alue";"Puolue";"Yhteensä";"Miehet";"Naiset"
"Ehdokkaiden lukumäärä";"2021";"091 Helsinki";"Yhteensä";1163;631;532
"Ehdokkaiden lukumäärä";"2021";"049 Espoo";"Yhteensä";772;429;343
"Ehdokkaiden lukumäärä";"2021";"078 Hanko";"Yhteensä";95;64;31
"Ehdokkaiden lukumäärä";"2021";"092 Vantaa";"Yhteensä";690;393;297
"Ehdokkaiden lukumäärä";"2021";"106 Hyvinkää";"Yhteensä";322;198;124
"Ehdokkaiden lukumäärä";"2021";"186 Järvenpää";"Yhteensä";309;196;113
"Ehdokkaiden lukumäärä";"2021";"235 Kauniainen";"Yhteensä";118;64;54
"Ehdokkaiden lukumäärä";"2021";"245 Kerava";"Yhteensä";265;138;127
"Ehdokkaiden lukumäärä";"2021";"257 Kirkkonummi";"Yhteensä";280;173;107
"Ehdokkaiden lukumäärä";"2021";"444 Lohja";"Yhteensä";400;218;182
"Ehdokkaiden lukumäärä";"2021";"543 Nurmijärvi";"Yhteensä";239;144;95
"Ehdokkaiden lukumäärä";"2021";"638 Porvoo";"Yhteensä";317;168;149
"Ehdokkaiden lukumäärä";"2021";"858 Tuusula";"Yhteensä";308;178;130
"Ehdokkaiden lukumäärä";"2021";"224 Karkkila";"Yhteensä";100;55;45
"Ehdokkaiden lukumäärä";"2021";"434 Loviisa";"Yhteensä";133;74;59
"Ehdokkaiden lukumäärä";"2021";"505 Mäntsälä";"Yhteensä";192;117;75
"Ehdokkaiden lukumäärä";"2021";"710 Raasepori";"Yhteensä";174;93;81
"Ehdokkaiden lukumäärä";"2021";"753 Sipoo";"Yhteensä";190;105;85
"Ehdokkaiden lukumäärä";"2021";"927 Vihti";"Yhteensä";215;126;89
"Ehdokkaiden lukumäärä";"2021";"018 Askola";"Yhteensä";65;37;28
"Ehdokkaiden lukumäärä";"2021";"149 Inkoo";"Yhteensä";74;41;33
"Ehdokkaiden lukumäärä";"2021";"407 Lapinjärvi";"Yhteensä";42;24;18
"Ehdokkaiden lukumäärä";"2021";"504 Myrskylä";"Yhteensä";56;29;27
"Ehdokkaiden lukumäärä";"2021";"611 Pornainen";"Yhteensä";67;31;36
"Ehdokkaiden lukumäärä";"2021";"616 Pukkila";"Yhteensä";38;23;15
"Ehdokkaiden lukumäärä";"2021";"755 Siuntio";"Yhteensä";93;60;33
"Ehdokkaiden lukumäärä";"2021";"202 Kaarina";"Yhteensä";246;138;108
"Ehdokkaiden lukumäärä";"2021";"680 Raisio";"Yhteensä";223;129;94
"Ehdokkaiden lukumäärä";"2021";"734 Salo";"Yhteensä";343;191;152
"Ehdokkaiden lukumäärä";"2021";"853 Turku";"Yhteensä";669;374;295
"Ehdokkaiden lukumäärä";"2021";"400 Laitila";"Yhteensä";83;52;31
"Ehdokkaiden lukumäärä";"2021";"423 Lieto";"Yhteensä";193;112;81
"Ehdokkaiden lukumäärä";"2021";"430 Loimaa";"Yhteensä";150;90;60
"Ehdokkaiden lukumäärä";"2021";"445 Parainen";"Yhteensä";156;83;73
"Ehdokkaiden lukumäärä";"2021";"481 Masku";"Yhteensä";107;58;49
"Ehdokkaiden lukumäärä";"2021";"503 Mynämäki";"Yhteensä";71;44;27
"Ehdokkaiden lukumäärä";"2021";"529 Naantali";"Yhteensä";230;137;93
"Ehdokkaiden lukumäärä";"2021";"577 Paimio";"Yhteensä";119;71;48
"Ehdokkaiden lukumäärä";"2021";"895 Uusikaupunki";"Yhteensä";126;82;44
"Ehdokkaiden lukumäärä";"2021";"019 Aura";"Yhteensä";53;30;23
"Ehdokkaiden lukumäärä";"2021";"284 Koski Tl";"Yhteensä";41;29;12
"Ehdokkaiden lukumäärä";"2021";"304 Kustavi";"Yhteensä";37;19;18
"Ehdokkaiden lukumäärä";"2021";"322 Kemiönsaari";"Yhteensä";84;48;36
"Ehdokkaiden lukumäärä";"2021";"480 Marttila";"Yhteensä";52;34;18
