Kunta;Ikä;Yhteensä;Miehet;Naiset
Akaa;Yhteensä;16467;8281;8186
Alajärvi;Yhteensä;9311;4712;4599
Alavieska;Yhteensä;2491;1313;1178
Alavus;Yhteensä;11197;5690;5507
Asikkala;Yhteensä;8033;3958;4075
Askola;Yhteensä;4847;2453;2394
Aura;Yhteensä;3955;1952;2003
Brändö;Yhteensä;449;237;212
Eckerö;Yhteensä;933;490;443
Enonkoski;Yhteensä;1362;708;654
Enontekiö;Yhteensä;1789;954;835
Espoo;Yhteensä;297132;147968;149164
Eura;Yhteensä;11417;5784;5633
Eurajoki;Yhteensä;9334;4777;4557
Evijärvi;Yhteensä;2404;1208;1196
Finström;Yhteensä;2638;1317;1321
Forssa;Yhteensä;16573;8094;8479
Föglö;Yhteensä;501;261;240
Geta;Yhteensä;505;252;253
Haapajärvi;Yhteensä;6802;3449;3353
Haapavesi;Yhteensä;6613;3389;3224
Hailuoto;Yhteensä;950;486;464
Halsua;Yhteensä;1083;559;524
Hamina;Yhteensä;19702;9823;9879
Hammarland;Yhteensä;1619;824;795
Hankasalmi;Yhteensä;4683;2349;2334
Hanko;Yhteensä;7979;4016;3963
Harjavalta;Yhteensä;6785;3340;3445
Hartola;Yhteensä;2621;1296;1325
Hattula;Yhteensä;9405;4758;4647
Hausjärvi;Yhteensä;8143;4185;3958
Heinola;Yhteensä;18344;8934;9410
Heinävesi;Yhteensä;3136;1624;1512
Helsinki;Yhteensä;658457;313429;345028
Hirvensalmi;Yhteensä;2131;1110;1021
Hollola;Yhteensä;23090;11346;11744
Huittinen;Yhteensä;9870;4896;4974
Humppila;Yhteensä;2166;1114;1052
Hyrynsalmi;Yhteensä;2139;1125;1014
Hyvinkää;Yhteensä;46880;22896;23984
Hämeenkyrö;Yhteensä;10337;5178;5159
Hämeenlinna;Yhteensä;67971;32962;35009
Ii;Yhteensä;9912;5136;4776
Iisalmi;Yhteensä;20958;10451;10507
Iitti;Yhteensä;6559;3281;3278
Ikaalinen;Yhteensä;6877;3470;3407
Ilmajoki;Yhteensä;12366;6230;6136
Ilomantsi;Yhteensä;4643;2361;2282
Imatra;Yhteensä;25655;12604;13051
Inari;Yhteensä;7008;3589;3419
Inkoo;Yhteensä;5353;2660;2693
Isojoki;Yhteensä;1891;996;895
Isokyrö;Yhteensä;4480;2285;2195
Janakkala;Yhteensä;16340;8291;8049
Joensuu;Yhteensä;77261;37489;39772
Jokioinen;Yhteensä;5046;2473;2573
Jomala;Yhteensä;5512;2771;2741
Joroinen;Yhteensä;4624;2360;2264
Joutsa;Yhteensä;4263;2189;2074
Juuka;Yhteensä;4444;2293;2151
Juupajoki;Yhteensä;1786;938;848
Juva;Yhteensä;5887;2978;2909
Jyväskylä;Yhteensä;144473;71204;73269
Jämijärvi;Yhteensä;1685;877;808
Jämsä;Yhteensä;19767;9935;9832
Järvenpää;Yhteensä;45226;21970;23256
Kaarina;Yhteensä;35497;17301;18196
Kaavi;Yhteensä;2778;1409;1369
Kajaani;Yhteensä;36493;18321;18172
Kalajoki;Yhteensä;12412;6237;6175
Kangasala;Yhteensä;32622;16107;16515
Kangasniemi;Yhteensä;5230;2637;2593
Kankaanpää;Yhteensä;12662;6235;6427
Kannonkoski;Yhteensä;1311;685;626
Kannus;Yhteensä;5390;2680;2710
Karijoki;Yhteensä;1192;623;569
Karkkila;Yhteensä;8717;4329;4388
Karstula;Yhteensä;3774;1874;1900
Karvia;Yhteensä;2290;1186;1104
Kaskinen;Yhteensä;1289;643;646
Kauhajoki;Yhteensä;12890;6497;6393
Kauhava;Yhteensä;15312;7736;7576
Kauniainen;Yhteensä;10396;5024;5372
Kaustinen;Yhteensä;4196;2103;2093
Keitele;Yhteensä;2095;1062;1033
Kemi;Yhteensä;19982;9885;10097
Kemijärvi;Yhteensä;7105;3588;3517
Keminmaa;Yhteensä;7904;4010;3894
Kemiönsaari;Yhteensä;6614;3310;3304
Kempele;Yhteensä;19116;9509;9607
Kerava;Yhteensä;37232;18392;18840
Keuruu;Yhteensä;9443;4688;4755
Kihniö;Yhteensä;1808;918;890
Kinnula;Yhteensä;1581;846;735
Kirkkonummi;Yhteensä;40433;20155;20278
Kitee;Yhteensä;9877;4948;4929
Kittilä;Yhteensä;6523;3238;3285
Kiuruvesi;Yhteensä;7759;3935;3824
Kivijärvi;Yhteensä;1088;575;513
Kokemäki;Yhteensä;6951;3494;3457
Kokkola;Yhteensä;47909;23745;24164
Kolari;Yhteensä;3989;2008;1981
Konnevesi;Yhteensä;2586;1329;1257
