"Vuosi";"Alue";"Äänioikeutetut"
"2021";"091 Helsinki";542830
"2021";"049 Espoo";225442
"2021";"078 Hanko";6868
"2021";"092 Vantaa";187728
"2021";"106 Hyvinkää";38022
"2021";"186 Järvenpää";35765
"2021";"235 Kauniainen";7856
"2021";"245 Kerava";29790
"2021";"257 Kirkkonummi";30861
"2021";"444 Lohja";36933
"2021";"543 Nurmijärvi";33465
"2021";"638 Porvoo";40371
"2021";"858 Tuusula";30285
"2021";"224 Karkkila";7062
"2021";"434 Loviisa";12350
"2021";"505 Mäntsälä";15954
"2021";"710 Raasepori";22714
"2021";"753 Sipoo";17214
"2021";"927 Vihti";22843
"2021";"018 Askola";3789
"2021";"149 Inkoo";4354
"2021";"407 Lapinjärvi";2150
"2021";"504 Myrskylä";1527
"2021";"611 Pornainen";3840
"2021";"616 Pukkila";1486
"2021";"755 Siuntio";4882
"2021";"202 Kaarina";27179
"2021";"680 Raisio";19916
"2021";"734 Salo";42595
"2021";"853 Turku";164326
"2021";"400 Laitila";6788
"2021";"423 Lieto";15436
"2021";"430 Loimaa";13081
"2021";"445 Parainen";12314
"2021";"481 Masku";7221
"2021";"503 Mynämäki";6240
"2021";"529 Naantali";15920
"2021";"577 Paimio";8494
"2021";"704 Rusko";4842
"2021";"895 Uusikaupunki";12932
"2021";"019 Aura";3059
"2021";"284 Koski Tl";1903
"2021";"304 Kustavi";855
"2021";"322 Kemiönsaari";5641
"2021";"480 Marttila";1613
"2021";"538 Nousiainen";3603
"2021";"561 Oripää";1034
"2021";"631 Pyhäranta";1635
"2021";"636 Pöytyä";6466
"2021";"738 Sauvo";2406
"2021";"761 Somero";7192
"2021";"833 Taivassalo";1378
"2021";"918 Vehmaa";1878
"2021";"079 Harjavalta";5694
"2021";"609 Pori";69278
"2021";"684 Rauma";32014
"2021";"050 Eura";9308
"2021";"102 Huittinen";8193
"2021";"214 Kankaanpää";10545
"2021";"099 Honkajoki -21";0
"2021";"886 Ulvila";10169
"2021";"051 Eurajoki";7474
"2021";"181 Jämijärvi";1393
"2021";"230 Karvia";1953
"2021";"271 Kokemäki";5869
"2021";"484 Merikarvia";2544
"2021";"531 Nakkila";4284
"2021";"608 Pomarkku";1689
"2021";"747 Siikainen";1177
"2021";"783 Säkylä";5572
"2021";"061 Forssa";14259
"2021";"098 Hollola";18336
"2021";"109 Hämeenlinna";55931
"2021";"111 Heinola";15853
"2021";"398 Lahti";99005
"2021";"694 Riihimäki";23325
"2021";"016 Asikkala";6708
"2021";"082 Hattula";7423
"2021";"165 Janakkala";13130
"2021";"560 Orimattila";12658
"2021";"081 Hartola";2350
"2021";"086 Hausjärvi";6471
"2021";"103 Humppila";1790
"2021";"142 Iitti";5457
