"Tiedot";"Vuosi";"Alue";"Äänestäneitä miehiä";"Äänestäneitä naisia"
"Äänestäneet";"2021";"091 Helsinki";150561;184306
"Äänestäneet";"2021";"049 Espoo";62522;68712
"Äänestäneet";"2021";"078 Hanko";1916;1995
"Äänestäneet";"2021";"092 Vantaa";43224;47704
"Äänestäneet";"2021";"106 Hyvinkää";9156;9967
"Äänestäneet";"2021";"186 Järvenpää";8627;9945
"Äänestäneet";"2021";"235 Kauniainen";2717;3027
"Äänestäneet";"2021";"245 Kerava";7437;8316
"Äänestäneet";"2021";"257 Kirkkonummi";8799;9355
"Äänestäneet";"2021";"444 Lohja";9094;9892
"Äänestäneet";"2021";"543 Nurmijärvi";8882;9285
"Äänestäneet";"2021";"638 Porvoo";10651;12056
"Äänestäneet";"2021";"858 Tuusula";8320;8991
"Äänestäneet";"2021";"224 Karkkila";1788;1868
"Äänestäneet";"2021";"434 Loviisa";3266;3491
"Äänestäneet";"2021";"505 Mäntsälä";3864;4134
"Äänestäneet";"2021";"710 Raasepori";5940;6709
"Äänestäneet";"2021";"753 Sipoo";5046;5441
"Äänestäneet";"2021";"927 Vihti";5950;6497
"Äänestäneet";"2021";"018 Askola";970;981
"Äänestäneet";"2021";"149 Inkoo";1388;1528
"Äänestäneet";"2021";"407 Lapinjärvi";590;582
"Äänestäneet";"2021";"504 Myrskylä";413;474
"Äänestäneet";"2021";"611 Pornainen";1078;1092
"Äänestäneet";"2021";"616 Pukkila";393;386
"Äänestäneet";"2021";"755 Siuntio";1381;1398
"Äänestäneet";"2021";"202 Kaarina";7639;8379
"Äänestäneet";"2021";"680 Raisio";4934;5367
"Äänestäneet";"2021";"734 Salo";11040;11833
"Äänestäneet";"2021";"853 Turku";42050;49522
"Äänestäneet";"2021";"400 Laitila";1682;1754
"Äänestäneet";"2021";"423 Lieto";4359;4639
"Äänestäneet";"2021";"430 Loimaa";3403;3463
"Äänestäneet";"2021";"445 Parainen";3462;3873
"Äänestäneet";"2021";"481 Masku";2118;2106
"Äänestäneet";"2021";"503 Mynämäki";1583;1616
"Äänestäneet";"2021";"529 Naantali";4661;5279
"Äänestäneet";"2021";"577 Paimio";2252;2421
"Äänestäneet";"2021";"895 Uusikaupunki";3165;3283
"Äänestäneet";"2021";"019 Aura";767;839
"Äänestäneet";"2021";"284 Koski Tl";552;583
"Äänestäneet";"2021";"304 Kustavi";324;291
"Äänestäneet";"2021";"322 Kemiönsaari";1636;1689
"Äänestäneet";"2021";"480 Marttila";486;503
"Äänestäneet";"2021";"538 Nousiainen";1068;1070
"Äänestäneet";"2021";"561 Oripää";341;317
"Äänestäneet";"2021";"631 Pyhäranta";504;505
"Äänestäneet";"2021";"636 Pöytyä";1865;1862
"Äänestäneet";"2021";"704 Rusko";1469;1508
"Äänestäneet";"2021";"738 Sauvo";788;806
"Äänestäneet";"2021";"761 Somero";2085;2158
"Äänestäneet";"2021";"833 Taivassalo";420;422
"Äänestäneet";"2021";"918 Vehmaa";557;556
